,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_notes
397,SAN LUIS OBISPO COAST,TT409,-121.114194,35.605028,228,6.1,2,America/Los_Angeles,1/19/2017 20:36,10/20/2017 19:33, 
396,BLUE MTN LOOKOUT,ULBC1,-120.364694,38.342333,6043,6.1,2,America/Los_Angeles,8/24/2016 19:36,7/10/2017 15:33, 
358,PANTHER SPRINGS,PSWC1,-121.775972,40.241983,3344,6.1,2,America/Los_Angeles,8/15/2012 0:00,10/20/2017 19:21, 
395,NOVATO FIRE - ROBINHOOD,NVHC1,-122.549806,38.1125,482,6.1,2,America/Los_Angeles,1/21/2016 20:14,10/20/2017 19:31, 
393,SKYLAND,SKYN2,-119.940861,39.023,6599,6.1,2,America/Los_Angeles,8/15/2016 19:21,7/10/2017 17:14, 
392,CALFIRE 511,TT309,-121.263,38.925861,208,6.1,2,America/Los_Angeles,6/3/2015 18:51,10/20/2017 19:45, 
391,COLBY MOUNTAIN,CBXC1,-121.522522,40.145903,6004,6.1,2,America/Los_Angeles,6/8/2015 17:32,10/20/2017 19:27, 
389,ENF05 PORTABLE,TT260,-120.369,38.842017,5080,6.1,2,America/Los_Angeles,7/16/2015 18:30,10/20/2017 19:29, 
388,MDF08 PORTABLE,TT249,-120.806083,41.986317,5390,6.1,2,America/Los_Angeles,1/15/2014 0:00,10/20/2017 19:35, 
387,LAKE COUNTY RAWS1,LKRC1,-122.740511,38.80645,4724,6.1,2,America/Los_Angeles,8/9/2013 0:00,10/20/2017 19:05, 
386,STF04 PORTABLE,TT209,-119.7956,38.3134,8400,6.1,2,America/Los_Angeles,6/27/2013 0:00,10/18/2017 20:29, 
394,MDF07 PORTABLE,TT340,-121.392817,41.60515,4480,6.1,2,America/Los_Angeles,9/30/2015 12:18,10/20/2017 19:15, 
307,CAMP SIX,CSXC1,-123.876481,41.830842,3698,6.1,2,America/Los_Angeles,7/13/2004 0:00,10/20/2017 18:59, 
357,HUMBUG SUMMIT,HMRC1,-121.382661,40.109517,6714,6.1,2,America/Los_Angeles,7/24/2012 0:00,10/20/2017 19:21, 
354,DUTCH-INDY,DUIC1,-123.444069,41.643533,2296,6.1,2,America/Los_Angeles,7/15/2010 0:00,10/20/2017 18:56, 
326,SAN LUIS PORTABLE,TS623,-120.803889,37.066389,70,6.1,2,America/Los_Angeles,10/16/2006 0:00,10/20/2017 19:34, 
325,WAWONA,WWNC1,-119.644972,37.534472,4309,6.1,2,America/Los_Angeles,6/6/2006 0:00,10/20/2017 18:51, 
324,EL PORTAL,EPWC1,-119.787917,37.675333,2073,6.1,2,America/Los_Angeles,6/28/2006 0:00,10/20/2017 18:51, 
323,PEPPERMINT,PEPC1,-118.541364,36.073397,7385,6.1,2,America/Los_Angeles,5/25/2006 0:00,10/20/2017 18:58, 
322,KNEELAND,KNNC1,-123.928294,40.719944,2737,6.1,2,America/Los_Angeles,3/11/2006 0:00,10/20/2017 18:55, 
321,ASH MOUNTAIN,TSHC1,-118.825278,36.491389,1730,6.1,2,America/Los_Angeles,3/21/2006 0:00,10/20/2017 19:04, 
